benchmark,category,cs,status,cputime (s),walltime (s),memUsage,status-2,cputime (s)-2,walltime (s)-2,memUsage-2,speedup-2,status-4,cputime (s)-4,walltime (s)-4,memUsage-4,speedup-4,status-6,cputime (s)-6,walltime (s)-6,memUsage-6,speedup-6,status-8,cputime (s)-8,walltime (s)-8,memUsage-8,speedup-8
apache-2.4.39/httxt2dbm.bc,OSS,0,OK,0.071530813,0.095357765,18464768,OK,0.07303769,0.099699493,18657280,0.9564518548,OK,0.071995944,0.099028146,18661376,0.9629359819,OK,0.072011448,0.099592209,18948096,0.9574821761,OK,0.07203272,0.11878209,18788352,0.8027958171
apache-2.4.39/logresolve.bc,OSS,0,OK,0.062470281,0.116229801,17760256,OK,0.063449077,0.089228773,17707008,1.302604497,OK,0.062065188,0.112948267,17731584,1.029053425,OK,0.062022034,0.108319872,17788928,1.073023803,OK,0.061496165,0.085297867,17690624,1.36263432
apache-2.4.39/rotatelogs.bc,OSS,0,OK,0.122444019,0.14443509,21123072,OK,0.125943421,0.153952394,21385216,0.9381802143,OK,0.125485345,0.147286422,21790720,0.9806409039,OK,0.125468698,0.146847111,21925888,0.9835746105,OK,0.12548003,0.145692828,22151168,0.9913671934
apache-2.4.39/suexec.bc,OSS,0,OK,0.130902508,0.171952282,20836352,OK,0.171360303,0.154682744,21520384,1.11164489,OK,0.169503602,0.152991331,22159360,1.123934806,OK,0.171618377,0.156029378,22335488,1.102050679,OK,0.169825276,0.156066911,22626304,1.101785644
ario-1.6/ario.bc,OSS,0,OK,1.663175074,1.759354939,86011904,OK,1.725396473,1.741136191,84389888,1.010463712,OK,1.704038589,1.72577578,84402176,1.019457429,OK,1.696216942,1.942812386,87166976,0.9055711975,OK,1.6693075,1.68942935,84705280,1.041390064
atop-2.4.0/atopconvert.bc,OSS,0,OK,1.054672155,1.093481123,22511616,OK,1.492462736,0.88962396,23695360,1.229149812,OK,1.982453514,0.791243784,24113152,1.381977521,OK,2.017110416,0.736301697,24612864,1.485099284,OK,2.017884569,0.725037637,24481792,1.508171531
audit-2.8.4/audisp-remote.bc,OSS,0,OK,2.64217053,2.668318853,31928320,OK,4.180023057,2.715476587,34832384,0.9826337173,OK,4.508908927,2.622731109,37089280,1.017381783,OK,4.302924725,2.713253059,39165952,0.9834389919,OK,4.231432182,2.601084765,39342080,1.02584848
audit-2.8.4/audispd-zos-remote.bc,OSS,0,OK,0.264788715,0.321379513,24162304,OK,0.300407256,0.302152486,25395200,1.063633522,OK,0.295654672,0.269455101,25993216,1.192701537,OK,0.305393363,0.293870241,26578944,1.093610268,OK,0.347408573,0.279799213,27082752,1.148607637
audit-2.8.4/audispd.bc,OSS,0,OK,2.64896978,2.68967349,28143616,OK,3.370545403,2.368030447,29962240,1.135827241,OK,3.7587226,2.297054354,31723520,1.170922876,OK,3.332885863,2.298236636,33177600,1.170320518,OK,3.222880933,2.225608754,33447936,1.208511373
audit-2.8.4/auditctl.bc,OSS,0,OK,21.34718725,21.42868905,32272384,OK,26.76992939,13.55576884,36642816,1.580780058,OK,37.60113713,12.92078287,41848832,1.65846677,OK,39.11859326,13.20278798,45420544,1.62304273,OK,37.91687596,12.92279267,47775744,1.65820884
audit-2.8.4/auditd.bc,OSS,0,OK,3.064522745,3.086348158,58609664,OK,3.904299788,2.546628934,60698624,1.211934773,OK,3.877892001,2.243740715,62640128,1.375536905,OK,4.061818472,2.260197577,65118208,1.365521399,OK,4.010394412,2.221907386,66256896,1.389053467
audit-2.8.4/aulast.bc,OSS,0,OK,0.178381411,0.285673608,20148224,OK,0.201361199,0.165649272,21487616,1.724569052,OK,0.237624988,0.16725091,23203840,1.708054133,OK,0.261861229,0.334995278,24301568,0.852769059,OK,0.2609714,0.16231203,24891392,1.760027325
audit-2.8.4/aulastlog.bc,OSS,0,OK,0.074228172,0.105406821,18010112,OK,0.075772537,0.09597041,18235392,1.098326255,OK,0.073569003,0.091646129,18489344,1.150150281,OK,0.075135422,0.10309665,19079168,1.022407818,OK,0.074517253,0.103427871,19177472,1.019133624
audit-2.8.4/aureport.bc,OSS,0,OK,684.193163,684.2900647,69861376,OK,771.0523892,386.3977306,84074496,1.770947421,OK,751.1322825,188.2544336,110043136,3.634921376,OK,807.3112945,135.079408,127881216,5.06583553,OK,825.0530854,104.1847416,128004096,6.568044938
audit-2.8.4/ausearch.bc,OSS,0,OK,32.33804769,32.38818183,60891136,OK,38.49949927,20.2449965,75157504,1.599811678,OK,38.56475171,10.06935963,97394688,3.216508597,OK,42.48186517,7.888649587,95006720,4.105668717,OK,44.15919502,6.8140089,99520512,4.753175744
audit-2.8.4/ausyscall.bc,OSS,0,OK,0.05959599,0.090255781,17670144,OK,0.061844215,0.089488853,17702912,1.008570095,OK,0.060117429,0.085734666,17616896,1.052733803,OK,0.060536651,0.087789235,18055168,1.028096224,OK,0.060780409,0.082599612,17727488,1.092690133
audit-2.8.4/autrace.bc,OSS,0,OK,0.115807391,0.184970136,18878464,OK,0.131660344,0.124262927,19853312,1.48853838,OK,0.138185238,0.121031842,21057536,1.528276633,OK,0.153301783,0.167519909,21868544,1.104168078,OK,0.157891093,0.120656501,22089728,1.533030831
audit-2.8.4/auvirt.bc,OSS,0,OK,0.362015375,0.389111558,24215552,OK,0.413466227,0.311048381,25706496,1.250967958,OK,0.448732988,0.310816019,27848704,1.251903165,OK,0.49552695,0.287873366,30105600,1.351676132,OK,0.501971622,0.278106241,30093312,1.399147163
autofs-5.1.4/automount.bc,OSS,0,OK,48.21532394,48.28987855,98332672,OK,56.33950723,29.57849289,106557440,1.63260105,OK,69.12863433,25.12884139,115109888,1.921691406,OK,79.62306306,25.52697049,119083008,1.891719919,OK,71.01286365,24.74318776,120524800,1.951643378
avfs-1.0.6/avfsd.bc,OSS,0,OK,0.92422438,0.95064577,89460736,OK,0.947520678,0.966914023,87625728,0.983175078,OK,0.923466141,0.955739386,87367680,0.9946704969,OK,0.926734401,1.087739682,89747456,0.8739644105,OK,0.917157475,0.943289107,87629824,1.007798948
badvpn-1.999.130/badvpn-ncd-request.bc,OSS,0,OK,15.98332664,16.00853315,43237376,OK,21.01737505,10.82011413,51077120,1.479516108,OK,21.72200738,5.915316096,60854272,2.706285326,OK,24.30598219,4.79498084,71233536,3.338602109,OK,26.8837828,4.251556158,77443072,3.765334986
badvpn-1.999.130/badvpn-tunctl.bc,OSS,0,OK,0.075127213,0.140052901,19759104,OK,0.078049896,0.10114523,19935232,1.384671338,OK,0.076158038,0.104222854,19898368,1.343783015,OK,0.076980357,0.141084887,20074496,0.992685354,OK,0.076779017,0.101656426,19881984,1.377708292
batctl-2019.0/batctl.bc,OSS,0,OK,0.545432166,0.573658903,47382528,OK,0.570891132,0.593105467,47525888,0.9672123002,OK,0.562061804,0.579642501,47779840,0.9896770889,OK,0.56151548,0.632534937,48660480,0.9069205026,OK,0.556235601,0.572390416,48037888,1.002216122
bc-1.07.1/bc.bc,OSS,0,OK,2665.336464,2665.399203,79581184,OK,3019.492158,1511.736951,90402816,1.763136901,OK,3277.013937,870.0237093,107175936,3.063593756,OK,3411.788938,632.4991721,124719104,4.214075402,OK,3582.387898,560.7104956,142376960,4.753610328
bc-1.07.1/dc.bc,OSS,0,OK,182.320359,182.3504834,36630528,OK,208.1862292,106.6782293,43253760,1.709350489,OK,233.5484386,68.21481291,49811456,2.673180144,OK,263.8160786,65.05342482,58032128,2.803088137,OK,266.9962021,60.30379386,61403136,3.0238642
