benchmark,category,status,cputime (s),walltime (s),memUsage,status-4,cputime (s)-4,walltime (s)-4,memUsage-4,speedup-4
inetutils-1.9.4/rcp.bc,OSS,OK,30.09176651,30.20967163,34021376,OK,63.04129375,20.20221776,43925504,1.495364122
inetutils-1.9.4/talkd.bc,OSS,OK,30.07108044,30.1350443,35463168,OK,53.95537176,17.35559598,44478464,1.736330134
inetutils-1.9.4/rshd.bc,OSS,OK,30.05729776,30.08634842,34095104,OK,52.47541746,17.31089146,43765760,1.738001102
inetutils-1.9.4/rsh.bc,OSS,OK,29.95721624,30.01484508,32112640,OK,48.30428308,15.74233389,42614784,1.906632478
inetutils-1.9.4/talk.bc,OSS,OK,29.92820823,29.95077976,33808384,OK,48.21048675,15.84436494,43352064,1.890311153
inetutils-1.9.4/dnsdomainname.bc,OSS,OK,29.85465009,29.89378062,31195136,OK,52.21960606,15.49068013,40816640,1.929791357
inetutils-1.9.4/rlogind.bc,OSS,OK,29.79965815,29.88401927,35102720,OK,49.41317381,15.89608514,44650496,1.879960946
inetutils-1.9.4/hostname.bc,OSS,OK,29.76775183,29.80798367,32108544,OK,49.13931759,16.07056597,41639936,1.854818537
musepack-0.1+r475/mpcenc.bc,OSS,OK,29.50035003,29.52682865,62603264,OK,55.34246454,27.16269575,67928064,1.087036019
julius-4.5/adintool-gui.bc,OSS,OK,29.19509331,29.25765851,258027520,OK,42.30601539,18.296204,270585856,1.59911086
nauty-26r11/addedgeg.bc,OSS,OK,28.36102873,28.41118255,57786368,OK,57.04592743,26.57650828,66183168,1.069033684
horst-5.1/horst.bc,OSS,OK,28.12894954,28.33062915,54632448,OK,43.95134694,17.00892722,66285568,1.665632923
fvwm-2.6.8/FvwmScript.bc,OSS,OK,26.9235999,26.95416472,106315776,OK,38.32940112,15.83047613,119611392,1.702675554
coreutils-8.31/join.bc,OSS,OK,26.76255406,26.79477545,31461376,OK,47.66236646,17.48758247,47030272,1.532217246
lcdproc-0.5.9/lcdproc.bc,OSS,OK,26.6085025,26.62922166,61534208,OK,31.98682632,9.057561101,76910592,2.93999912
toxcore-0.2.9/tox-bootstrapd.bc,OSS,OK,26.34572189,26.412413,43597824,OK,46.90314291,21.61016595,47992832,1.222221664
chrony-3.4/chronyd.bc,OSS,OK,26.17990076,26.20928028,86032384,OK,37.68097123,15.15706406,109162496,1.729179225
gnupg-2.2.15/symcryptrun.bc,OSS,OK,25.97732059,26.03229608,52256768,OK,46.23427548,16.68716706,62578688,1.560018905
toxcore-0.2.9/DHT_bootstrap.bc,OSS,OK,25.63157707,25.80921839,71147520,OK,40.23261731,20.94101787,74027008,1.23247201
tcpreplay-4.3.1/tcpreplay-edit.bc,OSS,OK,25.13175709,25.15948555,94781440,OK,38.65365913,12.93601365,106618880,1.944917981
coreutils-8.31/rm.bc,OSS,OK,24.13086892,24.15756733,36655104,OK,34.78309508,12.66738406,53534720,1.907068358
julius-4.5/adintool.bc,OSS,OK,23.97472082,24.12453477,254853120,OK,33.47410364,15.97933231,265662464,1.509733592
coreutils-8.31/numfmt.bc,OSS,OK,23.7499343,23.90305249,32772096,OK,38.88393127,15.47410781,49176576,1.544712805
iodine-0.7.0/iodined.bc,OSS,OK,23.77334409,23.80293237,47259648,OK,28.06100756,7.866429147,54452224,3.025887849
isync-1.3.0/mbsync.bc,OSS,OK,23.19643053,23.2516818,73580544,OK,24.64731431,13.41200718,79601664,1.733646686
nnn-2.4/nnn.bc,OSS,OK,23.03606618,23.07915213,127336448,OK,35.80328631,11.3741175,144199680,2.029093874
packeth-1.9/packETH.bc,OSS,OK,22.93862857,23.04041016,114245632,OK,24.01295543,24.0359766,112640000,0.9585801546
gnupg-2.2.15/gpg-connect-agent.bc,OSS,OK,22.4406568,22.48576231,65462272,OK,35.7631359,12.09708294,79982592,1.858775577
catdoc-0.95/catdoc.bc,OSS,OK,22.33864419,22.36821722,30257152,OK,34.22569989,10.60731134,37679104,2.108754661
tcpreplay-4.3.1/tcpreplay.bc,OSS,OK,21.98338056,22.00417991,54628352,OK,28.96345255,9.470039585,81756160,2.323557332
tor-0.3.5.8/tor-resolve.bc,OSS,OK,21.73041191,21.75790045,46100480,OK,31.68352752,17.47324242,52039680,1.245212532
e2fsprogs-1.45.0/mke2fs.bc,OSS,OK,21.66962467,21.74351489,56262656,OK,39.44109274,18.64097291,60297216,1.166436698
audit-2.8.4/auditctl.bc,OSS,OK,21.34718725,21.42868905,32272384,OK,37.60113713,12.92078287,41848832,1.65846677
coreutils-8.31/ln.bc,OSS,OK,21.21742094,21.24487548,35266560,OK,33.47206479,11.47071431,50860032,1.852096993
sthttpd-2.27.1/thttpd.bc,OSS,OK,20.9989624,21.02888633,51597312,OK,25.65501032,7.919400241,59973632,2.655363499
dvtm-0.15/dvtm.bc,OSS,OK,20.72413456,20.83338584,32616448,OK,38.87190513,19.98659798,39104512,1.042367784
lcdproc-0.5.9/LCDd.bc,OSS,OK,20.7000852,20.72550992,62394368,OK,29.26998447,12.70562007,67461120,1.631208064
dropbear-2019.78/dropbearkey.bc,OSS,OK,20.54409505,20.56976596,57774080,OK,23.60512168,13.25031919,62074880,1.55239777
xdialog-2.3.1/Xdialog.bc,OSS,OK,19.98486977,20.03162421,42364928,OK,24.9944197,7.512833372,50438144,2.666320844
ecl-16.1.3/ecl_min.bc,OSS,OK,19.87093481,19.89918273,374784000,OK,20.04196466,20.01152252,368304128,0.994386245
ncurses-6.1/infocmp.bc,OSS,OK,19.77473327,19.79290818,36368384,OK,25.21991017,7.051631601,51027968,2.806855108
zsync-0.6.2/zsyncmake.bc,OSS,OK,19.66412722,19.68333162,48242688,OK,27.62764957,9.962758086,56991744,1.975691013
coreutils-8.31/head.bc,OSS,OK,19.52443558,19.57185029,29155328,OK,36.2829159,12.45074649,45117440,1.571941915
unbound-1.9.1/unbound-checkconf.bc,OSS,OK,17.20411792,19.47793985,326385664,OK,20.41237588,16.02433816,302653440,1.215522267
openvswitch-2.11.0/vtep-ctl.bc,OSS,OK,16.14024496,18.48100948,234180608,OK,18.25722797,13.4474652,208302080,1.374311753
opensmtpd-6.0.3p1/smtpd.bc,OSS,OK,18.10887013,18.24865182,168198144,OK,23.55529423,10.68059153,171511808,1.708580632
ecl-16.1.3/dpp.bc,OSS,OK,18.14257512,18.17307542,68960256,OK,22.11606187,13.93044264,71557120,1.304558361
uucp-1.07/uuchk.bc,OSS,OK,18.11488382,18.13424727,44072960,OK,31.21349036,11.27440717,56565760,1.60844353
tinyproxy-1.10.0/tinyproxy.bc,OSS,OK,18.06635981,18.09510128,51412992,OK,26.56095277,11.79734298,57204736,1.533828532
gv-3.7.4/gv.bc,OSS,OK,17.78354661,17.97114832,170356736,OK,24.24984834,9.596224706,184090624,1.872731086
fvwm-2.6.8/FvwmAnimate.bc,OSS,OK,17.63677557,17.72701985,61566976,OK,27.42600168,11.22051756,69812224,1.579875415
stalonetray-0.8.3/stalonetray.bc,OSS,OK,17.43513298,17.47243495,63078400,OK,21.43986955,11.62850664,69050368,1.502551918
catdoc-0.95/xls2csv.bc,OSS,OK,17.04914676,17.0680438,29523968,OK,27.79158826,16.49609006,36610048,1.034672079
oidentd-2.3.2/oidentd.bc,OSS,OK,16.52929428,16.57662394,40230912,OK,33.50276952,12.82274241,56373248,1.292751848
